
============================================================
🔥 TOP 50 MOST COMPLEX C# METHODS (HOTSPOTS) 🔥
============================================================
COMPLEXITY   | LINES  | FILE                                     | METHOD
----------------------------------------------------------------------------------------------------
88           | 250    | V12_002.SIMA.Lifecycle.cs                | HydrateWorkingOrdersFromBroker (Line 290)
83           | 163    | V12_002.UI.Compliance.cs                 | ProcessQueuedExecution (Line 357)
82           | 201    | V12_002.SIMA.Lifecycle.cs                | HydrateFSMsFromWorkingOrders (Line 562)
71           | 221    | V12_002.Trailing.StopUpdate.cs           | UpdateStopOrder (Line 100)
60           | 98     | V12_002.UI.IPC.Commands.Fleet.cs         | TryHandleFleet_CancelAll (Line 149)
56           | 102    | V12_002.Symmetry.BracketFSM.cs           | ProcessBracketEvent (Line 163)
54           | 139    | V12_002.Orders.Management.StopSync.cs    | RefreshActivePositionOrders (Line 51)
52           | 119    | V12_002.Orders.Management.Cleanup.cs     | ReconcileOrphanedOrders (Line 324)
50           | 270    | V12_002.LogicAudit.cs                    | ExecuteRiskLogicAudit (Line 48)
46           | 153    | V12_002.Orders.Management.Flatten.cs     | FlattenAll (Line 196)
44           | 177    | V12_002.REAPER.Repair.cs                 | ExecuteReaperRepair (Line 49)
43           | 108    | V12_002.Orders.Management.Cleanup.cs     | RemoveGhostOrderRef (Line 200)
43           | 40     | V12_002.UI.IPC.cs                        | ProcessIpc_MatchSymbol (Line 332)
42           | 65     | V12_002.UI.Panel.Handlers.cs             | UpdateContextualUI (Line 427)
40           | 171    | V12_002.Orders.Management.cs             | SubmitBracketOrders (Line 64)
40           | 117    | V12_002.SIMA.Flatten.cs                  | PumpFlattenOps (Line 106)
39           | 61     | V12_002.UI.Panel.Handlers.cs             | AttachPanelHandlers (Line 17)
37           | 131    | V12_002.Orders.Management.Cleanup.cs     | CleanupPosition (Line 52)
36           | 171    | V12_002.BarUpdate.cs                     | OnBarUpdate (Line 62)
36           | 64     | V12_002.Orders.Callbacks.Propagation.cs  | PropagateMaster_ResolveFollowers (Line 157)
36           | 139    | V12_002.REAPER.Audit.cs                  | AuditSingleFleetAccount (Line 68)
35           | 137    | V12_002.Trailing.Breakeven.cs            | MoveSpecificTarget (Line 153)
34           | 99     | V12_002.SIMA.Fleet.cs                    | PumpFleetDispatch (Line 194)
34           | 55     | V12_002.SIMA.Lifecycle.cs                | SweepBrokerOrders (Line 824)
34           | 71     | V12_002.SIMA.Shadow.cs                   | ShadowMoveFollowerStops (Line 79)
34           | 84     | V12_002.Trailing.Breakeven.cs            | MoveSpecificTargetAbsolute (Line 298)
32           | 83     | V12_002.REAPER.Audit.cs                  | AuditMasterAccountIfNeeded (Line 393)
32           | 36     | V12_002.UI.Panel.Handlers.cs             | OnSyncAllClick (Line 238)
31           | 74     | V12_002.Safety.Watchdog.cs               | ExecuteWatchdogLeadAccountFlatten (Line 138)
31           | 258    | V12_002.SIMA.Execution.cs                | ExecuteRMAEntryV2 (Line 308)
30           | 72     | V12_002.Lifecycle.cs                     | OnStateChangeTerminated (Line 487)
30           | 98     | V12_002.Trailing.cs                      | ManageTrail_RunPerTradeBranches (Line 205)
29           | 37     | V12_002.UI.Callbacks.cs                  | OnKeyDown (Line 343)
29           | 77     | V12_002.UI.Sizing.cs                     | SyncPendingOrders (Line 134)
28           | 84     | V12_002.Orders.Management.Flatten.cs     | ManageCIT (Line 82)
28           | 78     | V12_002.Safety.Watchdog.cs               | ExecuteWatchdogDirectFallback (Line 213)
28           | 67     | V12_002.UI.Callbacks.cs                  | ExecuteTargetAction (Line 389)
27           | 124    | V12_002.Entries.RMA.cs                   | ExecuteTrendSplitEntry (Line 54)
27           | 71     | V12_002.Orders.Management.Flatten.cs     | FlattenPositionByName (Line 358)
27           | 53     | V12_002.Trailing.cs                      | ManageTrail_RunFleetSymmetrySync (Line 95)
27           | 25     | V12_002.UI.Panel.Handlers.cs             | UpdateTargetVisibility (Line 495)
26           | 53     | V12_002.Symmetry.Replace.cs              | SymmetryGuardTryResolveFollowersForDispatch (Line 123)
26           | 78     | V12_002.Trailing.Breakeven.cs            | MoveStopsToBreakevenWithOffset (Line 52)
25           | 16     | V12_002.Orders.Callbacks.AccountOrders.cs | TryFindOrderInPosition (Line 197)
25           | 38     | V12_002.SIMA.Shadow.cs                   | ShadowPropagateStopMoves (Line 33)
25           | 64     | V12_002.UI.Snapshot.cs                   | BuildUiLivePositionSnapshot (Line 88)
24           | 60     | V12_002.SIMA.Lifecycle.cs                | HydrateExpectedPositionsFromBroker (Line 202)
24           | 64     | V12_002.UI.Callbacks.cs                  | ExecuteRunnerAction (Line 768)
23           | 77     | V12_002.Orders.Management.StopSync.cs    | RestoreCascadedTargets (Line 414)
22           | 159    | V12_002.Entries.Retest.cs                | ExecuteRetestEntry (Line 63)
